Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1023,187.75,166,848,340,321,590,12
2,3641,172.66,44,868,320,278,592,12
3,548,172.58,0,872,400,265,534,12
4,70,171.58,148,860,340,213,504,12
5,33,171.33,140,952,200,220,574,12
6,573,170.83,24,756,480,306,490,12
7,5046,170.0,6,828,360,298,548,12
8,226,169.41,20,876,400,223,514,12
9,2137,168.5,60,844,280,286,558,12
10,5048,167.33,52,820,240,310,592,12
11,68,164.83,0,844,280,280,592,12
12,314,163.83,64,896,200,246,560,12
13,4967,163.0,204,608,440,256,454,12
14,1189,161.83,48,784,320,328,480,12
15,107,161.08,160,712,320,295,464,12
16,85,160.75,6,828,360,223,524,12
17,3602,160.16,54,736,320,334,484,12
18,4362,159.83,66,728,400,254,482,12
19,1025,159.33,68,736,320,254,534,12
20,2054,156.58,200,668,360,251,430,12
21,2767,155.5,20,748,280,384,434,12
22,2959,154.0,60,684,400,286,442,12
23,3618,151.83,64,716,360,240,478,12
24,3620,151.33,40,712,320,216,528,12
25,66,150.58,66,704,240,301,502,12
26,3547,148.66,64,588,440,240,452,12
27,217,148.0,40,684,360,246,446,12
28,4384,147.5,40,696,280,300,460,12
29,3536,147.25,86,688,320,249,436,12
30,1,147.0,24,672,320,248,506,12
31,3098,146.83,112,580,400,180,496,12
32,3604,146.83,46,620,400,304,422,12
33,3452,146.58,40,696,280,265,490,12
34,5260,145.66,60,604,320,344,420,12
35,141,144.25,24,656,360,235,456,12
36,1506,144.16,20,672,360,236,454,12
37,67,144.08,72,640,280,249,512,12
38,469,144.0,0,704,320,250,472,12
39,3539,143.66,72,640,240,338,434,12
40,2834,143.0,20,680,320,276,438,12
41,1711,142.33,40,692,320,236,426,12
42,1502,142.08,26,692,240,277,476,12
43,3656,141.75,12,580,440,235,446,12
44,4003,141.41,120,592,280,271,440,12
45,1918,140.91,60,688,240,215,506,12
46,503,140.33,0,696,280,254,460,12
47,3688,140.08,4,588,480,209,406,12
48,2960,139.33,20,684,320,224,448,12
49,4961,139.25,20,660,240,273,484,12
50,2337,138.5,52,580,280,286,476,12
51,5053,138.08,0,632,360,203,480,12
52,123,138.0,60,548,400,254,400,12
53,862,137.91,0,636,320,225,480,12
54,4391,137.58,20,640,240,279,472,12
55,27,137.5,8,636,280,352,374,12
56,280,137.0,66,544,320,304,416,12
57,5603,136.58,46,552,320,291,442,12
58,494,135.83,214,612,160,216,440,12
59,5460,135.75,30,576,320,299,416,12
60,3322,135.5,68,552,380,266,360,12
61,245,134.08,20,640,240,285,430,12
62,2405,133.83,44,532,400,244,392,12
63,5505,133.25,24,540,440,261,340,12
64,1322,133.25,20,552,400,209,418,12
65,5072,133.0,34,568,320,290,384,12
66,5216,131.66,26,552,440,170,398,12
67,857,131.66,60,600,280,228,424,12
68,2619,130.25,36,568,320,281,364,12
69,5562,129.58,8,552,280,297,430,12
70,830,128.75,28,456,360,295,406,12
71,5509,127.75,16,512,320,301,384,12
72,4130,127.66,20,660,240,188,424,12
73,4482,127.58,60,524,300,229,436,12
74,5675,127.41,50,492,400,221,384,12
75,3875,127.33,6,536,360,300,344,12
76,4405,126.91,88,496,360,227,364,12
77,4216,125.75,40,508,360,247,366,12
78,4815,124.91,20,616,260,245,376,12
79,5710,124.83,20,576,280,220,408,12
80,3668,124.58,20,524,400,185,378,12
81,4381,124.33,60,520,320,228,382,12
82,5692,124.16,60,564,160,336,370,12
83,5155,123.83,0,448,480,216,360,12
84,5524,121.33,36,452,360,280,340,12
85,1718,120.16,68,448,240,258,428,12
86,2075,118.58,90,456,280,183,414,12
87,5114,118.58,8,528,240,279,380,12
88,5478,118.25,18,536,280,217,374,12
89,5069,118.16,0,496,320,232,388,12
90,5167,117.75,4,376,360,331,354,12
91,2604,117.75,0,552,200,283,390,12
92,703,116.25,40,500,160,239,456,12
93,5534,114.08,20,480,320,243,324,12
94,5712,113.75,6,496,240,237,392,12
95,5674,113.16,4,504,260,244,346,12
96,3538,112.33,40,496,240,234,350,12
97,2474,108.75,40,432,240,295,322,12
98,4994,106.66,20,524,160,220,362,12
99,3770,106.25,28,324,320,269,340,12
100,5517,106.16,48,376,320,146,390,12
101,3570,105.41,46,440,280,229,324,12
102,5498,98.66,20,376,240,242,306,12
