Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,330,10,0,0,10,20.00,14.10,290
2,1540,9,1,0,10,18.00,15.50,290
3,2032,8,2,0,10,16.00,12.50,256
4,2019,7,2,1,10,15.00,19.80,132
5,1852,7,2,1,10,15.00,13.30,128
6,696,7,3,0,10,14.00,29.20,188
7,368,7,3,0,10,14.00,20.20,80
8,1717,7,3,0,10,14.00,18.40,188
9,1425,7,3,0,10,14.00,15.80,128
10,585,7,3,0,10,14.00,15.30,128
11,691,7,3,0,10,14.00,3.50,62
12,1834,6,3,1,10,13.00,25.40,132
13,1388,6,4,0,10,12.00,15.50,64
14,1266,6,4,0,10,12.00,15.30,188
15,1572,6,4,0,10,12.00,12.00,132
16,1566,6,4,0,10,12.00,11.40,124
17,1622,5,4,1,10,11.00,24.20,118
18,968,5,4,1,10,11.00,18.40,128
19,835,5,4,1,10,11.00,14.10,35
20,1216,5,4,1,10,11.00,13.60,188
21,2193,5,4,1,10,11.00,12.40,290
22,294,5,4,1,10,11.00,6.60,124
23,2066,5,4,1,10,11.00,5.50,64
24,2102,5,5,0,10,10.00,14.30,118
25,2042,4,3,2,9,10.00,11.60,128
26,1527,5,5,0,10,10.00,11.60,89
27,1641,4,4,2,10,10.00,4.10,60
28,1836,4,5,1,10,9.00,3.40,18
29,1917,4,6,0,10,8.00,17.00,62
30,1538,4,6,0,10,8.00,16.70,256
31,2029,3,5,2,10,8.00,5.00,128
32,1159,4,6,0,10,8.00,3.60,60
33,812,3,6,1,10,7.00,13.10,60
34,687,3,6,1,10,7.00,10.60,68
35,1704,3,6,1,10,7.00,9.00,36
36,1372,3,6,1,10,7.00,7.70,32
37,2154,3,6,1,10,7.00,5.10,44
38,1510,3,6,1,10,7.00,3.40,64
39,599,3,7,0,10,6.00,11.40,128
40,1197,2,6,2,10,6.00,7.20,30
41,1682,2,6,2,10,6.00,4.90,35
42,2235,2,8,0,10,4.00,7.70,40
43,842,2,8,0,10,4.00,4.50,15
44,980,1,8,1,10,3.00,8.20,118
45,1972,1,9,0,10,2.00,6.40,41
46,1332,0,10,0,10,0.00,8.30,45
