Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1538,117.2,0,528,80,186,378,10
2,3476,113.1,0,524,40,165,414,10
3,399,107.3,0,440,120,189,324,10
4,2102,88.0,0,372,40,168,306,10
5,3255,87.0,4,388,40,132,312,10
6,5124,80.0,4,356,0,112,340,10
7,3021,77.8,0,376,0,136,272,10
8,1622,77.7,0,300,120,137,238,10
9,1572,74.2,0,268,120,118,254,10
10,3965,74.1,4,228,80,217,230,10
11,2029,73.2,0,248,120,132,238,10
12,4984,70.7,0,216,40,179,272,10
13,4160,67.7,0,224,160,97,208,10
14,2485,67.7,0,300,0,147,254,10
15,3128,67.0,0,260,40,130,246,10
16,1266,66.8,0,228,120,100,232,10
17,5137,66.7,0,312,40,95,220,10
18,4470,66.0,8,236,40,126,262,10
19,841,63.8,4,196,80,112,258,10
20,2543,61.4,0,192,120,90,224,10
21,2339,60.7,4,192,120,93,198,10
22,5199,58.0,0,112,200,100,186,10
23,3704,56.8,0,188,120,124,172,10
24,2984,56.8,0,180,80,120,200,10
25,5627,56.6,0,188,40,162,194,10
26,5768,56.0,0,180,120,114,170,10
27,3749,55.7,0,240,0,103,226,10
28,5765,54.9,0,216,40,125,210,10
29,3453,54.7,0,240,0,103,210,10
30,5430,54.1,0,148,160,73,172,10
31,4078,53.7,0,192,80,107,164,10
32,4498,53.5,0,172,40,93,248,10
33,5772,52.3,0,192,80,95,204,10
34,5089,51.4,0,204,0,102,214,10
35,2496,49.3,0,168,40,95,208,10
36,4139,48.3,4,168,40,77,212,10
37,812,48.2,0,128,80,84,196,10
38,4583,48.1,0,132,80,109,166,10
39,4486,48.0,0,176,40,130,170,10
40,4616,46.9,0,176,40,63,196,10
41,5025,44.9,0,184,40,89,154,10
42,5477,44.5,0,164,80,75,168,10
43,3341,43.4,4,164,0,112,178,10
44,2827,43.2,0,100,80,93,174,10
45,702,42.6,8,116,80,68,178,10
46,1772,41.9,4,108,40,41,250,10
47,3952,40.7,0,120,80,69,138,10
48,3647,40.1,0,164,0,71,190,10
49,5209,39.1,0,120,40,112,134,10
50,3470,38.7,0,80,40,167,118,10
51,2658,38.4,0,104,40,70,182,10
52,3967,37.5,0,120,40,71,174,10
53,5474,36.2,0,96,40,82,168,10
54,5514,35.8,0,120,80,58,142,10
55,4014,31.8,0,96,0,82,170,10
56,4738,30.7,0,76,40,61,136,10
57,4919,28.2,0,68,80,65,108,10
58,3491,25.8,0,56,0,62,158,10
