2014ncre_f1m1,frc836,frc1111,frc3971,frc900,frc4288,frc1287,83,92
2014ncre_f1m2,frc3971,frc1111,frc836,frc1287,frc900,frc4288,129,51
2014ncre_f1m3,frc836,frc3971,frc1111,frc1287,frc900,frc4288,122,167
2014ncre_qf1m1,frc836,frc3971,frc1111,frc3459,frc375,frc5190,39,39
2014ncre_qf1m2,frc3971,frc836,frc1111,frc3459,frc3763,frc5190,158,65
2014ncre_qf1m3,frc836,frc3971,frc1111,frc5190,frc3459,frc3763,142,46
2014ncre_qf2m1,frc587,frc1533,frc3506,frc5160,frc1413,frc449,78,42
2014ncre_qf2m2,frc3506,frc1533,frc587,frc1413,frc449,frc5160,130,38
2014ncre_qf3m1,frc4288,frc1287,frc900,frc2890,frc4828,frc2640,76,73
2014ncre_qf3m2,frc900,frc1287,frc4288,frc2640,frc2890,frc4828,113,84
2014ncre_qf4m1,frc2642,frc4935,frc2059,frc4481,frc339,frc2641,271,72
2014ncre_qf4m2,frc4935,frc2059,frc2642,frc2641,frc339,frc4481,177,138
2014ncre_qm1,frc4481,frc4829,frc4828,frc4823,frc587,frc3701,35,77
2014ncre_qm10,frc3661,frc4288,frc2641,frc3701,frc122,frc4816,52,36
2014ncre_qm11,frc4767,frc4245,frc3331,frc2890,frc4823,frc375,47,90
2014ncre_qm12,frc3763,frc3822,frc3737,frc2059,frc4829,frc587,18,48
2014ncre_qm13,frc2528,frc1413,frc3229,frc2640,frc3336,frc3506,73,73
2014ncre_qm14,frc3845,frc4996,frc4935,frc5190,frc339,frc3459,27,42
2014ncre_qm15,frc836,frc449,frc900,frc2483,frc4290,frc3402,170,11
2014ncre_qm16,frc1111,frc3971,frc4481,frc4534,frc3811,frc3680,49,27
2014ncre_qm17,frc4828,frc4795,frc4291,frc5160,frc435,frc3493,60,15
2014ncre_qm18,frc3215,frc1287,frc2642,frc1533,frc3796,frc4561,61,7
2014ncre_qm19,frc339,frc3229,frc4996,frc3331,frc1413,frc4829,40,57
2014ncre_qm2,frc4288,frc2890,frc122,frc1287,frc1111,frc1413,26,63
2014ncre_qm20,frc3506,frc4823,frc3661,frc4935,frc449,frc3459,49,135
2014ncre_qm21,frc2528,frc1111,frc3402,frc2890,frc4767,frc3763,48,28
2014ncre_qm22,frc122,frc4795,frc3822,frc836,frc4481,frc2640,0,132
2014ncre_qm23,frc3796,frc4245,frc4534,frc2059,frc5160,frc4288,22,150
2014ncre_qm24,frc1533,frc2642,frc5190,frc2483,frc4828,frc2641,101,151
2014ncre_qm25,frc3680,frc3215,frc4816,frc3336,frc587,frc3493,11,17
