Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,118,14.00,394.00,170.00,636.00,7-1-0,0,8
2,1114,14.00,336.00,320.00,679.00,7-1-0,0,8
3,2169,14.00,304.00,210.00,758.00,7-1-0,0,8
4,1425,14.00,300.00,220.00,794.00,7-1-0,0,8
5,2630,14.00,250.00,130.00,644.00,7-1-0,0,8
6,1241,13.00,330.00,170.00,602.00,6-1-1,0,8
7,2474,12.00,360.00,120.00,514.00,6-2-0,0,8
8,3656,12.00,338.00,170.00,410.00,6-2-0,0,8
9,2338,12.00,320.00,170.00,470.00,6-2-0,0,8
10,2512,12.00,310.00,190.00,652.00,6-2-0,0,8
11,245,12.00,308.00,150.00,618.00,6-2-0,0,8
12,4069,12.00,302.00,220.00,537.00,6-2-0,0,8
13,295,12.00,302.00,160.00,501.00,6-2-0,0,8
14,610,12.00,292.00,210.00,565.00,6-2-0,0,8
15,2729,12.00,288.00,200.00,648.00,6-2-0,0,8
16,2907,12.00,288.00,190.00,523.00,6-2-0,0,8
17,3641,12.00,284.00,200.00,560.00,6-2-0,0,8
18,4334,12.00,280.00,180.00,635.00,6-2-0,0,8
19,27,12.00,272.00,110.00,555.00,6-2-0,0,8
20,422,12.00,252.00,190.00,457.00,6-2-0,0,8
21,2341,12.00,234.00,160.00,393.00,6-2-0,0,8
22,4557,12.00,228.00,170.00,426.00,6-2-0,0,8
23,4039,11.00,302.00,190.00,539.00,5-2-1,0,8
24,3528,10.00,366.00,160.00,438.00,5-3-0,0,8
25,111,10.00,352.00,170.00,549.00,5-3-0,0,8
26,1732,10.00,342.00,130.00,531.00,5-3-0,0,8
27,1477,10.00,332.00,180.00,471.00,5-3-0,0,8
28,1323,10.00,322.00,150.00,538.00,5-3-0,0,8
29,2000,10.00,310.00,160.00,431.00,5-3-0,0,8
30,222,10.00,300.00,150.00,645.00,5-3-0,0,8
31,4601,10.00,280.00,210.00,455.00,5-3-0,0,8
32,3944,10.00,276.00,110.00,415.00,5-3-0,0,8
33,2199,10.00,268.00,220.00,434.00,5-3-0,0,8
34,1806,10.00,264.00,250.00,653.00,5-3-0,0,8
35,2403,10.00,262.00,220.00,333.00,5-3-0,0,8
36,3941,10.00,258.00,220.00,472.00,5-3-0,0,8
37,4627,10.00,246.00,160.00,514.00,5-3-0,0,8
38,329,10.00,244.00,100.00,566.00,5-3-0,0,8
39,842,10.00,240.00,280.00,364.00,5-3-0,0,8
40,1710,10.00,222.00,150.00,409.00,5-3-0,0,8
41,3459,9.00,316.00,130.00,413.00,4-3-1,0,8
42,4492,9.00,266.00,110.00,474.00,4-3-1,0,8
43,2502,9.00,238.00,190.00,380.00,4-3-1,0,8
44,1325,9.00,228.00,130.00,456.00,4-3-1,0,8
45,4481,8.00,354.00,160.00,416.00,4-4-0,0,8
46,2337,8.00,320.00,170.00,379.00,4-4-0,0,8
47,125,8.00,300.00,190.00,517.00,4-4-0,0,8
48,2834,8.00,298.00,140.00,424.00,4-4-0,0,8
49,4579,8.00,286.00,200.00,410.00,4-4-0,0,8
50,2648,8.00,282.00,210.00,622.00,4-4-0,0,8
51,1378,8.00,276.00,70.00,497.00,4-4-0,0,8
52,4472,8.00,268.00,140.00,351.00,4-4-0,0,8
53,1218,8.00,250.00,190.00,534.00,4-4-0,0,8
54,4462,8.00,228.00,140.00,446.00,4-4-0,0,8
55,95,8.00,214.00,180.00,338.00,4-4-0,0,8
56,337,8.00,194.00,180.00,381.00,4-4-0,0,8
57,1987,7.00,286.00,150.00,466.00,3-4-1,0,8
58,1726,7.00,228.00,150.00,394.00,3-4-1,0,8
59,4641,7.00,212.00,160.00,390.00,3-4-1,0,8
60,70,6.00,350.00,210.00,461.00,3-5-0,0,8
61,1629,6.00,326.00,120.00,410.00,3-5-0,0,8
62,2978,6.00,324.00,150.00,344.00,3-5-0,0,8
63,3284,6.00,318.00,180.00,513.00,3-5-0,0,8
64,2175,6.00,306.00,120.00,518.00,3-5-0,0,8
65,447,6.00,302.00,200.00,300.00,3-5-0,0,8
66,3481,6.00,286.00,170.00,366.00,3-5-0,0,8
67,2481,6.00,284.00,300.00,403.00,3-5-0,0,8
68,1675,6.00,284.00,130.00,441.00,3-5-0,0,8
69,2485,6.00,270.00,140.00,650.00,3-5-0,0,8
70,1772,6.00,268.00,160.00,445.00,3-5-0,0,8
71,45,6.00,262.00,130.00,342.00,3-5-0,0,8
72,3211,6.00,260.00,140.00,334.00,3-5-0,0,8
73,358,6.00,236.00,290.00,499.00,3-5-0,0,8
74,4567,6.00,234.00,90.00,526.00,3-5-0,0,8
75,4607,6.00,224.00,130.00,525.00,3-5-0,0,8
76,2046,6.00,224.00,100.00,465.00,3-5-0,0,8
77,3018,6.00,218.00,270.00,286.00,3-5-0,0,8
78,4522,6.00,218.00,150.00,208.00,3-5-0,0,8
79,192,6.00,216.00,130.00,386.00,3-5-0,0,8
80,3189,6.00,206.00,170.00,391.00,3-5-0,0,8
81,4158,5.00,318.00,190.00,384.00,2-5-1,0,8
82,4011,4.00,274.00,170.00,431.00,2-6-0,0,8
83,578,4.00,262.00,130.00,263.00,2-6-0,0,8
84,4026,4.00,260.00,150.00,450.00,2-6-0,0,8
85,3132,4.00,252.00,150.00,395.00,2-6-0,0,8
86,1405,4.00,242.00,170.00,370.00,2-6-0,0,8
87,151,4.00,228.00,140.00,294.00,2-6-0,0,8
88,2259,4.00,218.00,200.00,416.00,2-6-0,0,8
89,384,4.00,216.00,90.00,371.00,2-6-0,0,8
90,744,4.00,212.00,140.00,404.00,2-6-0,0,8
91,1801,4.00,204.00,110.00,294.00,2-6-0,0,8
92,1086,4.00,174.00,100.00,338.00,2-6-0,0,8
93,4541,4.00,154.00,280.00,306.00,2-6-0,0,8
94,1912,3.00,240.00,120.00,335.00,1-6-1,0,8
95,467,3.00,222.00,140.00,309.00,1-6-1,0,8
96,4452,2.00,286.00,140.00,368.00,1-7-0,0,8
97,2809,2.00,236.00,130.00,241.00,1-7-0,0,8
98,4797,2.00,156.00,210.00,271.00,1-7-0,0,8
99,4502,0,212.00,190.00,231.00,0-8-0,0,8
100,1429,0,198.00,120.00,272.00,0-7-0,1,8
