Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,3419,105.45,0,456,160,248,302,11
2,1418,77.36,8,260,220,153,228,11
3,1731,76.36,0,284,120,212,230,11
4,3490,72.72,12,308,160,116,234,11
5,1895,67.63,8,212,200,126,210,11
6,1421,67.36,0,184,280,125,158,11
7,5549,66.81,4,228,200,125,196,11
8,1885,65.63,0,156,200,150,216,11
9,623,65.45,0,232,160,132,214,11
10,1599,61.18,8,104,240,185,148,11
11,1033,61.18,0,240,140,111,188,11
12,1389,60.36,0,208,80,168,232,11
13,5243,58.72,4,160,120,178,190,11
14,5338,58.27,20,168,100,175,190,11
15,4456,57.09,0,168,200,116,156,11
16,5569,56.63,0,164,120,139,206,11
17,4099,56.18,4,192,160,102,190,11
18,122,55.72,0,188,120,121,202,11
19,116,55.36,0,192,120,95,214,11
20,383,52.09,4,216,80,125,172,11
21,2537,50.45,4,152,160,93,160,11
22,2377,50.45,12,188,40,109,218,11
23,449,49.45,4,160,80,152,166,11
24,612,48.18,4,116,120,180,128,11
25,614,47.72,4,148,80,91,220,11
26,4472,47.36,0,152,120,107,164,11
27,53,46.54,0,172,40,126,204,11
28,4242,45.45,12,160,80,122,168,11
29,5587,44.36,0,176,40,142,180,11
30,4464,44.0,8,168,40,134,152,11
31,2186,43.09,0,132,120,106,134,11
32,4541,42.81,4,128,120,125,120,11
33,4821,42.63,0,144,80,123,146,11
34,686,42.27,0,76,80,135,192,11
35,3373,39.81,4,148,40,120,150,11
36,3941,39.45,0,72,200,81,124,11
37,2912,39.36,8,148,20,136,134,11
38,2421,38.18,0,76,120,102,122,11
39,2068,37.81,12,124,80,84,150,11
40,2964,36.63,0,84,120,93,146,11
41,1123,36.63,0,120,80,105,132,11
42,3748,36.54,0,136,0,130,160,11
43,620,35.36,0,132,40,107,132,11
44,3650,35.18,0,88,80,91,146,11
45,1915,31.45,4,76,120,63,100,11
46,4949,29.9,0,72,80,91,104,11
47,611,27.0,4,72,20,99,144,11
48,5520,24.72,0,72,20,78,156,11
