Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1690,115.88,0,496,80,151,328,9
2,2363,82.55,6,336,0,139,268,9
3,2534,77.11,0,292,40,116,252,9
4,2377,74.11,0,272,80,103,224,9
5,2964,74.11,0,228,80,151,226,9
6,79,73.0,0,264,80,107,206,9
7,1629,71.33,80,52,200,156,172,9
8,1389,70.66,0,244,40,150,202,9
9,836,68.55,0,236,40,85,262,9
10,1086,64.33,4,124,160,75,222,9
11,449,59.11,20,172,80,110,162,9
12,2642,58.33,0,148,0,113,264,9
13,4638,57.33,20,196,40,94,166,9
14,4547,55.44,0,104,120,169,112,9
15,888,54.77,24,148,80,81,172,9
16,1915,54.44,0,128,120,80,162,9
17,3748,53.22,0,184,80,71,174,9
18,1111,51.77,0,152,40,100,186,9
19,2849,51.66,20,92,160,89,110,9
20,4949,51.33,0,124,120,88,130,9
21,375,51.22,0,128,40,85,214,9
22,1598,50.88,0,132,80,96,156,9
23,3650,50.11,20,112,80,103,142,9
24,3941,49.22,18,88,120,85,132,9
25,3283,47.44,4,168,40,91,130,9
26,2528,47.33,24,80,160,68,94,9
27,4456,47.33,20,124,40,114,128,9
28,53,47.33,0,136,40,104,158,9
29,2819,46.66,0,88,120,94,124,9
30,2537,46.66,4,116,80,148,72,9
31,2638,46.33,0,140,40,81,162,9
32,686,45.55,0,120,0,106,196,9
33,2914,45.11,4,72,120,104,106,9
34,615,44.66,6,172,0,100,124,9
35,4464,44.33,4,156,0,121,130,9
36,4050,44.11,0,108,40,77,178,9
37,1195,43.88,20,60,120,113,88,9
38,2682,43.44,10,72,120,77,130,9
39,3389,43.44,6,64,80,69,184,9
40,1610,43.0,12,84,80,129,82,9
41,4514,42.77,0,136,80,81,124,9
42,3793,42.55,0,112,80,110,90,9
43,2199,41.44,10,156,0,61,146,9
44,1446,40.33,0,104,80,79,118,9
45,1719,40.22,0,140,80,48,118,9
46,1547,39.44,0,92,80,63,126,9
47,4928,38.66,4,60,80,36,168,9
48,1829,38.44,28,36,120,70,92,9
49,2961,37.77,10,140,0,90,118,9
50,4945,37.33,0,128,0,101,122,9
51,4067,36.0,4,108,40,68,110,9
52,4821,35.88,24,80,40,63,140,9
53,4137,33.55,0,92,40,60,122,9
54,5106,29.55,6,64,40,52,104,9
55,2900,29.11,4,72,40,72,104,9
56,5115,28.66,46,40,0,76,102,9
57,2963,25.77,0,64,0,81,102,9
58,2912,24.88,0,96,0,42,104,9
