Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,4488,157.75,0,824,140,349,586,12
2,2550,155.75,0,768,200,345,556,12
3,1983,154.16,0,776,200,370,504,12
4,948,149.66,180,516,360,320,432,12
5,3674,148.83,0,772,200,290,524,12
6,1318,147.41,40,756,120,337,516,12
7,3663,138.83,0,792,80,294,518,12
8,4915,138.33,4,624,360,292,416,12
9,4980,137.66,4,656,280,264,454,12
10,955,137.25,0,676,120,323,528,12
11,4061,135.66,0,632,200,296,506,12
12,1595,135.41,80,556,280,333,382,12
13,2990,131.0,0,664,120,330,458,12
14,1510,126.66,0,588,240,280,412,12
15,492,126.25,20,616,120,321,438,12
16,4513,124.83,24,488,400,240,364,12
17,2046,124.75,40,612,120,287,444,12
18,2471,124.58,0,608,120,297,482,12
19,3238,124.5,0,556,200,390,348,12
20,2522,123.08,8,592,160,315,402,12
21,4450,122.58,0,544,200,299,434,12
22,2605,121.0,20,524,120,396,398,12
23,2635,120.83,0,512,280,266,392,12
24,4469,119.91,0,568,200,299,378,12
25,2521,119.75,12,452,280,285,432,12
26,3221,119.41,24,512,200,293,410,12
27,1425,119.33,28,528,120,284,478,12
28,4918,118.33,0,608,120,264,446,12
29,2944,117.83,0,436,440,210,328,12
30,3219,117.66,20,452,280,322,344,12
31,2147,117.66,4,504,200,302,408,12
32,4681,117.33,4,436,260,316,392,12
33,3787,117.25,24,396,280,333,380,12
34,2907,116.83,20,436,280,360,306,12
35,5495,116.66,20,496,240,296,360,12
36,997,115.83,0,508,160,306,422,12
37,488,114.83,0,520,160,274,442,12
38,3711,114.75,0,420,200,339,424,12
39,4608,114.16,0,520,220,276,354,12
40,3218,113.91,4,412,360,269,322,12
41,3574,113.33,8,488,120,324,420,12
42,360,112.58,0,488,120,285,464,12
43,2930,112.41,40,464,220,267,358,12
44,4205,111.75,0,444,320,243,340,12
45,4911,110.0,0,496,120,330,380,12
46,1778,109.5,20,440,200,274,398,12
47,3393,109.33,0,488,200,230,400,12
48,5111,109.25,28,548,80,257,398,12
49,3826,109.16,0,436,320,224,342,12
50,2149,109.08,20,460,240,205,402,12
51,3789,105.41,4,448,160,301,358,12
52,3586,105.16,20,372,280,278,312,12
53,5468,104.75,20,468,200,203,384,12
54,1540,103.75,4,432,240,249,326,12
55,2557,98.58,8,420,160,173,434,12
56,3588,98.25,20,360,240,207,364,12
57,5683,96.91,0,380,200,285,298,12
58,5748,95.5,0,428,160,250,314,12
59,3024,93.66,0,416,160,242,318,12
60,4304,92.0,20,312,240,274,258,12
61,847,89.75,20,372,180,247,264,12
62,5588,88.5,20,372,100,262,332,12
63,4125,88.25,4,316,280,177,294,12
64,2980,78.75,40,284,120,219,288,12
